year,recipient_name,usd_disbursement_deflated,usd_disbursement_lwr,usd_disbursement_upr
2023,Afghanistan,5.52400578174475,0.0293630724476974,11.3189945173464
2023,Albania,0.589745349774958,0,6.38037079373094
2023,Algeria,0.347929890531984,0,6.13837004460877
2023,Angola,0.353534620617529,0,6.14395487251642
2023,Argentina,3.05921604301538,0,9.21303945756829
2023,Armenia,1.32243472408093,0,7.11316972113698
2023,Azerbaijan,0.335479442462839,0,6.12591833606696
2023,Bangladesh,4.01264697199717,0,9.80460478704065
2023,Barbados,0.319430699504341,0,6.09912481522807
2023,Belarus,0.38609049236784,0,6.17653558221818
2023,Belize,0.322589978591313,0,6.10541857376279
2023,Benin,0.327768805882807,0,6.11577760206661
2023,Bhutan,2.23398981298988,0,8.02454242734645
2023,Bolivia,5.32273099317315,0,11.1176644032575
2023,Bosnia & Herzegovina,7.13573147118491,1.34181097714033,12.9296519652295
2023,Brazil,0.250290224288295,0,6.09487350588482
2023,Burkina Faso,0.483152879392728,0,6.27356640394451
2023,Burundi,0.409675721080048,0,6.20012451621334
2023,Cambodia,0.553431035956538,0,6.34383954046384
2023,Cameroon,0.500322184595751,0,6.29069132828893
2023,Canada,0.322618042805068,0,6.10547492746697
2023,Cape Verde,14.3752236157924,8.55553256850717,20.1949146630777
2023,Central African Republic,0.32269386373603,0,6.1056260856399
2023,Chad,0.335750717034975,0,6.12617861176235
2023,Chile,0.737266464144164,0,6.54601506167898
2023,China,0.617137363859378,0,6.40770964565517
2023,Colombia,0.380679807438447,0,6.20219100431555
2023,Comoros,0.418392069241607,0,6.20883690916175
2023,Congo - Brazzaville,0.322792279991176,0,6.10582294951051
2023,Congo - Kinshasa,0.855809944897757,0,6.64642741879246
2023,Costa Rica,0.439688286071437,0,6.23014699356221
2023,Croatia,0.3218671125807,0,6.10397465952864
2023,Cuba,0.454538663396888,0,6.24500261128032
2023,Côte d’Ivoire,0.401872276696066,0,6.19228938568658
2023,Djibouti,3.87294596889122,0,9.6682361139073
2023,Dominica,1.09628093633971,0,6.88712377306462
2023,Dominican Republic,0.450746083713112,0,6.24113874107459
2023,Ecuador,3.36693969636613,0,9.22358218733032
2023,Egypt,4.17593012292793,0,9.96903685641
2023,El Salvador,8.48741501439033,2.69122454835505,14.526208927831
2023,Equatorial Guinea,0.323148996220335,0,6.10653649586164
2023,Eritrea,0.32266410064299,0,6.1055666334091
2023,Eswatini,0.322693863252808,0,6.10562608469663
2023,Ethiopia,0.337612831784912,0,6.12806209893331
2023,Fiji,1.16392152914602,0,6.95452296436879
2023,Georgia,1.1357657460931,0,6.93054814543815
2023,Ghana,1.03274033508922,0,6.82327558478082
2023,Grenada,0.444041748716658,0,6.23449937640254
2023,Guatemala,0.775821763702463,0,6.5662770156904
2023,Guyana,1.56709203870069,0,7.35858991260408
2023,Haiti,14.6684399302357,8.83881361541495,20.4980662450564
2023,Honduras,3.36448194481306,0,9.15764354299289
2023,India,35.5356943127267,29.5740555687536,41.4973330566999
2023,Indonesia,0.691793025676871,0,6.48347563112033
2023,Iran,0.330158298789269,0,6.11985621312854
2023,Iraq,2.5701237457559,0,8.36350325857201
2023,Jamaica,0.335930419256181,0,6.12256212275989
2023,Jordan,0.710093280699111,0,6.50062795618355
2023,Kazakhstan,0.830722327448278,0,6.66996183115165
2023,Kenya,13.2017428838345,7.38855101646017,19.0149347512088
2023,Kiribati,0.789001560778742,0,6.57940041813812
2023,Kyrgyzstan,2.92870890703078,0,8.72049781146932
2023,Laos,0.369641397227123,0,6.16008580901348
2023,Lebanon,8.36874123786566,2.56815333515805,14.1693291405733
2023,Liberia,0.322819989545623,0,6.10587837744463
2023,Madagascar,0.453683277877108,0,6.24413207251017
2023,Malawi,0.406134965611979,0,6.19656363992181
2023,Malaysia,0.891654274780257,0,6.68331008959882
2023,Maldives,0.317588823284321,0,6.09545801417196
2023,Mali,1.00198939820881,0,6.79258040431153
2023,Marshall Islands,0.322693862955377,0,6.10562608411602
2023,Mauritania,0.55003431837478,0,6.34053145097236
2023,Mauritius,0.323063886547495,0,6.1063662493435
2023,Mayotte,0.0682609354487991,0,5.59954885769252
2023,Mexico,0,0,4.98115835461965
2023,Moldova,2.00757963846083,0,7.79867750591578
2023,Mongolia,5.29583454415967,0,11.1148450490367
2023,Montenegro,0.503117733742935,0,6.29358902453319
2023,Montserrat,0.380124961849354,0,6.17059007862927
2023,Morocco,11.8058451648,5.98353036864985,17.6281599609502
2023,Mozambique,1.53822921382167,0,7.32884334969615
2023,Myanmar (Burma),3.90674744274145,0,9.70002340530008
2023,Namibia,3.42328119328863,0,9.22795589953671
2023,Nepal,1.63716383543709,0,7.4280984881962
2023,Nicaragua,3.32975218244961,0,9.12156966909263
2023,Niger,0.345483072299369,0,6.13591147450256
2023,Nigeria,0.381012570939555,0,6.17144938495146
2023,Niue,0.3225979917101,0,6.10543458004525
2023,North Korea,0.322861677331874,0,6.10596178809114
2023,North Macedonia,2.03380610824936,0,7.8250930471612
2023,Pakistan,10.4399174602444,4.63734741030166,16.2424875101871
2023,Palau,0.323258630218816,0,6.10675579887272
2023,Palestinian Territories,5.25240412925637,0,11.0471966035162
2023,Panama,0.329205437349059,0,6.11988893007659
2023,Papua New Guinea,0.345689789788079,0,6.13612956733318
2023,Paraguay,0.827201026653094,0,6.61941223673527
2023,Peru,19.2423597417687,13.3982324146675,25.0864870688699
2023,Philippines,0.735056908883452,0,6.52548172094672
2023,Rwanda,0.710132644902092,0,6.50065675966507
2023,Samoa,0.423034190625724,0,6.21350191919068
