purpose_name,year,usd_disbursement_deflated,usd_disbursement_lwr,usd_disbursement_upr
Housing policy and administrative management,2023,137.309327317996,49.8730613013179,524.732794912222
Low-cost housing,2023,182.276490217206,53.6854360997506,571.795271740685
