year,recipient_name,usd_disbursement_deflated,usd_disbursement_lwr,usd_disbursement_upr
2023,Afghanistan,2.4014151214943,1.06323224742199,3.73959799556662
2023,Angola,2.55410213531974,1.24293540092263,3.86526886971685
2023,Albania,2.23584675336712,0.920634702694023,3.5510588040402
2023,Argentina,15.9861856052756,11.7281024461428,20.2442687644085
2023,Armenia,20.1250683276283,18.6663298332835,21.5838068219731
2023,Antigua and Barbuda,1.62169129795097,0.295133022309713,2.94824957359221
2023,Azerbaijan,1.80967182770494,0.486854216990991,3.13248943841889
2023,Burundi,4.94243505653484,3.66664518329484,6.21822492977484
2023,Benin,2.40244113029719,1.08120246675257,3.72367979384183
2023,Burkina Faso,9.12923692209761,7.88414226719982,10.3743315769953
2023,Bangladesh,74.7562729616659,70.8481276895818,78.6644182337501
2023,Bulgaria,1.62169129795097,0.295133022309713,2.94824957359221
2023,Bahrain,1.62169129795097,0.295133022309713,2.94824957359221
2023,Bahamas,1.62169129795097,0.295133022309713,2.94824957359221
2023,Bosnia and Herzegovina,19.9175239680733,18.4634191283864,21.3716288077603
2023,Belarus,1.96216510131792,0.64122003614378,3.28311016649206
2023,Belize,1.62570556400086,0.299229285404693,2.95218184259704
2023,Bolivia,2.08756463354078,0.768716385673865,3.40641288140769
2023,Brazil,8.42929679834453,6.65720171037697,10.2013918863121
2023,Barbados,1.80034166240324,0.45867310467423,3.14201022013226
2023,Bhutan,6.76973010763197,5.50752428160816,8.03193593365579
2023,Botswana,1.6236498016243,0.297129340499091,2.9501702627495
2023,Central African Republic,9.5319994965118,8.2767802764019,10.7872187166217
2023,Canada,1.60216039885199,0.27348794119249,2.9308328565115
2023,Chile,1.94764655346567,0.625969913897608,3.26932319303374
2023,China (People's Republic of),1.63224112301067,0.306390664937909,2.95809158108343
2023,Côte d'Ivoire,3.04530573217364,1.74248129454805,4.34813016979923
2023,Cameroon,10.0336516166268,8.79789195501831,11.2694112782354
2023,Democratic Republic of the Congo,59.9450674740963,57.1303510294986,62.759783918694
2023,Congo,1.6222800796363,0.295732910431818,2.94882724884078
2023,Cook Islands,1.62169129795097,0.295133022309713,2.94824957359221
2023,Colombia,14.3111084816915,13.0635406886854,15.5586762746975
2023,Comoros,1.62169129795097,0.295133022309713,2.94824957359221
2023,Cabo Verde,1.8496916107063,0.526941167677865,3.17244205373473
2023,Costa Rica,1.9870056216021,0.666813437778429,3.30719780542578
2023,Cuba,5.82050507570244,4.54929974588166,7.09171040552322
2023,Czechia,1.62169129795097,0.295133022309713,2.94824957359221
2023,Djibouti,10.8548973699665,9.56922081454089,12.1405739253921
2023,Dominica,6.64427607457633,5.36950121706263,7.91905093209002
2023,Dominican Republic,2.05171377954532,0.732368523187469,3.37105903590316
2023,Algeria,2.05172206830411,0.732970077964935,3.37047405864327
2023,Ecuador,3.60082957926462,1.89886140303884,5.3027977554904
2023,Egypt,4.6937137349338,3.40990282437803,5.97752464548958
2023,Eritrea,1.62169129795097,0.295133022309713,2.94824957359221
2023,Western Sahara,1.62169129795097,0.295133022309713,2.94824957359221
2023,Ethiopia,57.621843137567,54.9857139447974,60.2579723303365
2023,Fiji,2.3533363891583,1.03994474532398,3.66672803299262
2023,Micronesia,1.62169129795097,0.295133022309713,2.94824957359221
2023,Gabon,1.62169129795097,0.295133022309713,2.94824957359221
2023,United Kingdom,1.62169129795097,0.295133022309713,2.94824957359221
2023,Georgia,1.94259228368086,0.597764625514699,3.28741994184702
2023,Ghana,3.45864169827867,2.16267293463415,4.75461046192319
2023,Guinea,1.98421737075387,0.66362572473773,3.30480901677001
2023,Gambia,1.63352955774122,0.307171368613543,2.9598877468689
2023,Guinea-Bissau,1.62169129795097,0.295133022309713,2.94824957359221
2023,Equatorial Guinea,1.65757156944763,0.331618645090697,2.98352449380457
2023,Grenada,1.62373073558759,0.297214583272177,2.95024688790299
2023,Guatemala,5.77189821736725,4.49627560469087,7.04752083004362
2023,Guyana,1.6765664582363,0.350932226875304,3.0022006895973
2023,Honduras,6.07532829640161,4.80282867856816,7.34782791423506
2023,Haiti,13.8500792043319,12.5692253714712,15.1309330371926
2023,Hungary,1.63467340077575,0.309110009588833,2.96023679196266
2023,Indonesia,40.8616438403451,38.6842607846709,43.0390268960192
2023,India,34.0611446343646,20.6609067342705,47.4613825344586
2023,Iran,3.41685426636312,2.11652208867231,4.71718644405393
2023,Iraq,35.5638474948256,33.1128344610751,38.014860528576
2023,Israel,1.62169129795097,0.295133022309713,2.94824957359221
2023,Italy,1.62169129795097,0.295133022309713,2.94824957359221
2023,Jamaica,1.69267303699914,0.367910834994351,3.01743523900392
2023,Jordan,7.24083079166463,5.97525647169658,8.50640511163269
2023,Kazakhstan,4.47947739393582,2.87352920934042,6.08542557853121
2023,Kenya,17.5126475952715,15.6993089512478,19.3259862392953
2023,Kyrgyzstan,6.03744325167802,4.75990941734766,7.31497708600838
2023,Cambodia,2.02495204852555,0.705009972354936,3.34489412469617
2023,Kiribati,2.41311556037305,1.10091146106429,3.72531965968181
2023,St. Kitts & Nevis,1.62373073558759,0.297214583272177,2.95024688790299
2023,Lao People's Democratic Republic,2.2721385710152,0.956163843803735,3.58811329822667
2023,Lebanon,41.2812132674641,39.1320146544305,43.4304118804978
2023,Liberia,3.21600663631115,1.91453149739651,4.51748177522578
2023,Libya,4.7110503962713,3.43009608011992,5.99200471242269
2023,Saint Lucia,1.64529825734005,0.31916877707647,2.97142773760364
2023,Sri Lanka,3.967509443746,2.59621498314962,5.33880390434238
2023,Lesotho,1.62174118094393,0.295187356185775,2.94829500570209
