donor_code,donor_name,year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati
3,Denmark,2018,ARM,,0.66528
3,Denmark,2018,BGD,0.142552,0.14256
3,Denmark,2018,JOR,0,-0.0040650984
3,Denmark,2018,MOZ,0.370267,2.039944698
3,Denmark,2019,AFG,,5.62125
3,Denmark,2019,BGD,0.449829,0.4497
3,Denmark,2019,F97_X,,2.5298161308
3,Denmark,2019,IDN,,0.055725333994
3,Denmark,2019,IND,,0.0198978759
3,Denmark,2019,MOZ,,0.308603459112
3,Denmark,2019,SYR,,0.0113924
3,Denmark,2019,ZAF,0,-0.010454363275
3,Denmark,2020,DPGC_X,,5.3515
3,Denmark,2020,E_X,6.848059,6.84992
3,Denmark,2020,IND,0.303707,0.466451400052
3,Denmark,2020,KEN,4.585754,4.587
3,Denmark,2020,PHL,0.009474,0.009476723652
3,Denmark,2020,SYR,,-0.003959917346
3,Denmark,2020,UGA,,0.062334272
3,Denmark,2021,AFG,,3.182
3,Denmark,2021,BGD,0.181318,0.181397556346
3,Denmark,2021,DPGC_X,,5.5685
3,Denmark,2021,IND,0.022942,0.135790706071
3,Denmark,2021,PSE,,2.3865
3,Denmark,2021,SDN,0,
3,Denmark,2021,SYR,1.590305,1.591
3,Denmark,2022,AFG,,-0.363100001913
3,Denmark,2022,ARM,0.423998,0.4257
3,Denmark,2022,BGD,0.357106,0.35853873
3,Denmark,2022,DPGC_X,,6.3855
3,Denmark,2022,IND,0.584477,0.586821755553
3,Denmark,2022,KEN,0,-0.1151833518
3,Denmark,2022,SYR,2.119992,2.0921870805
3,Denmark,2022,UKR,14.274609,14.3319
3,Denmark,2023,AFG,,5.4093
3,Denmark,2023,DPGC_X,,5.8254
3,Denmark,2023,IND,,0
3,Denmark,2023,KEN,,0.0451707064
3,Denmark,2023,UKR,,-0.0019605245
4,France,2018,BEN,,0.04726
4,France,2018,CAF,0.354066,
4,France,2018,EGY,0,
4,France,2018,F6_X,0,
4,France,2018,F_X,0.00236,
4,France,2018,IND,118.290204,
4,France,2018,KEN,12.394363,
4,France,2018,MAR,0.064065,
4,France,2018,MDG,0.268152,
4,France,2018,NAM,0.010622,
4,France,2018,PAK,0,
4,France,2018,PER,82.757531,
4,France,2018,PNG,0.015343,
4,France,2018,SEN,0,
4,France,2018,SRB,0.019411,
4,France,2018,SYR,2.950549,
4,France,2018,TCD,0.141626,
4,France,2018,THA,0.017703,
4,France,2018,TUN,0,
4,France,2018,WLF,0.191405,
4,France,2018,ZAF,0.017703,
4,France,2019,AGO,0.00079,
4,France,2019,ARM,,0.050382
4,France,2019,BGD,0.002757,
4,France,2019,BRA,0.075954,0.22392
4,France,2019,COD,0.00079,
4,France,2019,DPGC_X,229.189216,
4,France,2019,ECU,39.880469,
4,France,2019,EGY,0,
4,France,2019,F6_X,0.084667,
4,France,2019,F_X,0,
4,France,2019,GIN,0.00176,
4,France,2019,IND,0,
4,France,2019,KEN,20.189958,
4,France,2019,KHM,0.000896,
4,France,2019,MAR,0.447778,
4,France,2019,MEX,19.940234,
4,France,2019,NAM,0.011194,
4,France,2019,PAK,0,
4,France,2019,PER,39.180566,39.186
4,France,2019,PNG,0.014553,
4,France,2019,SEN,0.050375,
4,France,2019,SYR,0.004478,
4,France,2019,THA,0.016792,
4,France,2019,TUN,11.333211,0.03515544
4,France,2019,ZAF,0.016792,
4,France,2020,ARM,,0.098067263909
4,France,2020,BFA,0.350619,
4,France,2020,BGD,0.004501,
4,France,2020,BRA,0.02906,
4,France,2020,COD,0.009687,
