year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2019,PER,48.317398,40.3853945017283,85.759108,1.42682647852056,38.9585680232078,214.514750920208,203.546519695229,225.482982145186
2020,PER,88.308032,80.1189249940818,48.317398,40.3853945017283,39.7335304923535,81.7297956380026,68.7838873161632,94.675703959842
2021,PER,10.291757,5.02001946734536,88.308032,80.1189249940818,-75.0989055267364,215.85720206191,199.088316164541,232.626087959279
2022,PER,43.873285,50.0657617888487,10.291757,5.02001946734536,45.0457423215033,-7.35823313789985,-18.1171237154127,3.40065743961302
2023,PER,80.8180144615755,42.9810250228848,43.873285,50.0657617888487,-7.08473676596388,80.8180144615755,70.7611902401029,90.8748386830482
2018,XKV,0.483774,0.494868345652,,,,,,
2019,XKV,0.460503,0.461047503777747,0.483774,0.494868345652,-0.0338208418742536,-15.3736278723107,-23.1443489557829,-7.6029067888385
2020,XKV,0.970075,0.279945272304014,0.460503,0.461047503777747,-0.181102231473732,-15.3624898778103,-23.1379187704311,-7.58706098518958
2021,XKV,0.681127,0.682103981839803,0.970075,0.279945272304014,0.402158709535789,-14.0052176897948,-21.7710848222188,-6.23935055737092
2022,XKV,0.656393,0.62577,0.681127,0.682103981839803,-0.056333981839803,-14.9155468404174,-22.677483171335,-7.15361050949978
2023,XKV,-41.4383946458775,69.3891,0.656393,0.62577,68.76333,-41.4383946458775,-55.5075208639548,-27.3692684278003
2018,ALB,0.758847,0,,,,,,
2019,ALB,0.73304,0.000607503777746479,0.758847,0,0.000607503777746479,-14.2812457837408,-22.068803289964,-6.4936882775177
2020,ALB,0.998977,0.00481956230401409,0.73304,0.000607503777746479,0.00421205852626761,-14.3573102883045,-22.1450017171449,-6.56961885946406
2021,ALB,1.038202,0.610611741839803,0.998977,0.00481956230401409,0.605792179535789,-13.825950331998,-21.5987130191942,-6.05318764480186
2022,ALB,0.761364,0.76524875203,1.038202,0.610611741839803,0.154637010190197,-13.9234856715448,-21.6805557291129,-6.16641561397666
2023,ALB,-14.9009114371622,1.13406,0.761364,0.76524875203,0.36881124797,-14.9009114371622,-22.6504752794589,-7.15134759486546
2018,BRA,3.485595,22.422120294736,,,,,,
2019,BRA,3.278207,16.5735451217458,3.485595,22.422120294736,-5.84857517299025,-18.3968528691678,-26.2551751248644,-10.5385306134713
2020,BRA,4.686512,7.56212584606001,3.278207,16.5735451217458,-9.01141927568574,-14.0683339731551,-21.8198810879668,-6.31678685834345
2021,BRA,13.808443,20.0565622928728,4.686512,7.56212584606001,12.4944364468128,-12.5777758636716,-20.3696790397253,-4.78587268761783
2022,BRA,5.162115,16.806554475016,13.808443,20.0565622928728,-3.2500078178568,11.8198010874945,4.16093355450908,19.4786686204798
