year,sector_code,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2016,16040,MNG,0,0,0.009976,0,0,1.65323033456492,-1.13458713206002,4.44104780118985
2017,16040,MNG,0,0,0,0,0,1.68010779416066,-1.10775898679974,4.46797457512105
2018,16040,MNG,0,0,0,0,0,1.70819868172864,-1.08120383442389,4.49760119788116
2019,16040,MNG,1.5,0,0,0,0,1.73628956929663,-1.05613666089698,4.52871579949024
2020,16040,MNG,0,1.35362407,1.5,0,1.35362407,1.96697852328163,-0.829441315866037,4.76339836242929
2021,16040,MNG,0,0.10219543,0,1.35362407,-1.25142864,1.79693211535166,-1.00584578851095,4.59971001921427
2022,16040,MNG,8.973389,1.35878572,0,0.10219543,1.25659029,1.84100698612745,-0.969130369000428,4.65114434125532
2023,16040,MNG,2.95350082532016,0.70019731,8.973389,1.35878572,-0.65858841,2.95350082532016,0.124246491573939,5.78275515906637
2010,16030,BOL,6.669964,0,,,,,,
2011,16030,BOL,5.958722,0,6.669964,0,0,3.02648203716858,0.214210554924932,5.83875351941222
2012,16030,BOL,0.042375,0,5.958722,0,0,2.96806120282032,0.164219766614162,5.77190263902647
2013,16030,BOL,0.027815,0,0.042375,0,0,2.276518876343,-0.520937224263746,5.07397497694976
2014,16030,BOL,0.074997,0,0.027815,0,0,2.30283876237973,-0.490243682534126,5.09592120729358
2015,16030,BOL,0,0,0.074997,0,0,2.33666861933289,-0.453455528144491,5.12679276681027
2016,16030,BOL,0,0,0,0,0,2.3556372677635,-0.433152546229546,5.14442708175654
2017,16030,BOL,0,0,0,0,0,2.38372815533148,-0.405133938878513,5.17259024954148
2018,16030,BOL,0.087687,0,0,0,0,2.41181904289947,-0.378605222267221,5.20224330806616
2019,16030,BOL,0.072876,0,0.087687,0,0,2.45057571420868,-0.342793516211493,5.24394494462884
2020,16030,BOL,0.096098,0,0.072876,0,0,2.47686506993053,-0.321052313094533,5.2747824529556
2021,16030,BOL,0.231879,0,0.096098,0,0,2.50778055897923,-0.296114691893697,5.31167580985215
2022,16030,BOL,0.452498,0,0.231879,0,0,2.55238713053875,-0.258816437421451,5.36359069849895
2023,16030,BOL,2.61144554804115,0.2776725,0.452498,0,0.2776725,2.61144554804115,-0.208424275493797,5.43131537157611
2010,16040,BOL,0.227181,9.168419,,,,,,
2011,16040,BOL,0.117778,6.647923,0.227181,9.168419,-2.520496,2.72946468118181,-0.0840909964282237,5.54302035879184
2012,16040,BOL,3.579405,3.321697,0.117778,6.647923,-3.326226,2.68927014223202,-0.115566545664814,5.49410683012885
2013,16040,BOL,4.857232,4.639311,3.579405,3.321697,1.317614,3.15080122332772,0.354354412519906,5.94724803413553
